Title,Content,Location,Time
"
                            
                                
                            
                            庆小兔日记4275那个鸭嘴兽好搞笑
                            
                        ","《庆兔兔日记》早教日记 
庆小兔六岁第五十三天
4275-二零二三年二月二十七日星期一多云转阴天15℃~9℃客厅早晨温度12℃ PM2.5-140
早上实时温度已经七度。
窗外的浓雾把长江淹没。
外婆进屋喊：“七点钟了，要起来了。”
两个人一动不动。
外婆说：“要上学了，说好了七点钟起来。”
庆兔兔说：“我起来了。”
庆兔兔坐了起来。
外婆问：“小九呢？”
庆小兔说：“哥哥起来了，我就起来。”
庆兔兔去卫生间了。
外婆说：“哥哥起来了。”
庆小兔一骨碌爬起来。
庆小兔说：“我也起来了。”
外婆给庆小兔拿绒衣。
庆小兔把绒衣拿过来说：“我自己穿。”
庆小兔在穿衣服，外婆在一旁帮忙拉扯衣服。
两个人刷牙洗脸。
庆小兔在看绘本。
庆兔兔说：“我走了。”
外婆说：“那么早。”
庆兔兔说：“我四十分走。”
外婆说：“早一点走也好，早一点食堂里没有多少人吃饭。”
庆兔兔走了。
庆小兔说：“我要听故事。”
我把外婆的手机递给庆小兔。
庆小兔手指头在手机屏幕上边划动，庆小兔打开喜马拉雅的节目，庆小兔点击了播放按钮。
故事从手机里流淌出来。
闹钟响了。
我提着书包往外走。
庆小兔在跟外婆讲鸭嘴兽的故事。
出了阳光房我走在庆小兔前边，我这才拿出手机录像。
听不清楚庆小兔说什么，庆小兔好像在说小狗汪汪汪。
一只黑白的小花狗灌木丛中玩。
庆小兔说：“巧克力。”
外婆说：“什么巧克力。”
庆小兔说：“这个小狗叫巧克力。”
外婆说：“巧克力。”
庆小兔说：“是我给他起的名字。”
外婆问：“为什么起一个巧克力的名字！”
庆小兔说：“他一块白，他一块黑，他就像一块巧克力。”
在公交站我问：“你刚才说鸭嘴兽是怎么回事？”
庆小兔说：“那个鸭嘴兽好搞笑。”
庆小兔在把书包上边的贴纸撕下来，庆小兔把贴纸往下边在贴。
庆小兔说：“那个鸭嘴兽好搞笑。”
外婆说：“你撕下来了，上边就没有胶了。”
庆小兔说：“他们把鸭嘴兽甩到河里，本来他会游泳但是他又不游了。”
庆小兔神秘地朝着我在笑。
我说：“不游呀！他掉进水里了。”
庆小兔说：“水里！那里有车，车里有很多水，他不知道怎么把头抬起来，鸭嘴兽说，嘀嘀嘀嘀。”
后边不知道庆小兔叽里咕噜说的是什么。
今天早早地阳光就抛洒下来，不过阳光并不是那样热情洋溢。
姨爹回来了。
姨爹说：“我问一下他妈妈要不要接庆兔兔。”
我说：“你以后没有紧要事情最好不要给他妈妈打电话。”
姨爹说：“为什么呀！”
我说：“你要接，你就去接，你打电话给他妈妈干什么？庆兔兔接回来，庆兔兔会给他妈妈打电话，用不着你再给他妈妈打电话。”
姨爹说：“我就是打电话问一下。”
我说：“你不打这个电话就不能接庆兔兔吗？”
姨爹说：“庆兔兔打电话要我去接。”
我说：“庆兔兔打电话要你接，你想接就去接，你问他妈妈干什么？庆兔兔六点半以前回来根本就不要接，庆兔兔几分钟就走回来了。”
姨爹说：“我以后不打好了。”
姨爹转身回家了。
外婆对我说：“他就是告诉他妈妈要去接庆兔兔。”
我说：“以前他几乎没有电话，他姨妈每天就不知道他在哪，现在他天天给妈妈打电话，又没有要问的事情，就是一些莫名其妙的问话！这会给别人造成误解。”
姨爹过来吃饭了。
外婆问：“你不去接庆兔兔了？”
姨爹说：“我刚刚给庆兔兔打电话，庆兔兔说，晚上去同学家过生日。”就是说刚才庆兔兔没有给姨爹打电话。
外婆问：“他妈妈呢？”
姨爹说：“我问了，小九还没有下课。”
姨爹还是给妈妈打了电话。
七点钟庆小兔回来了，庆小兔手里拿着一束花，还有一盒乐高积木。
外婆问：“哪里来的花。”
妈妈说：“不是马上要到三八妇女节吗！”
庆小兔把积木从盒子里倒出来。
我问：“你买的？”
庆小兔说：“小朋友过生日，这个积木是一个小朋友的。”
庆小兔问：“我的画龙点睛呢？”
我说：“还没有找。”
庆小兔问：“是不是找不到了！”
我说：“画不会丢，就是要找一下。”
庆小兔说：“明天你就找一下。”
我说：“好！今天晚上就给你找出来。”
庆小兔走了，我把庆小兔绘画班的画都找出来。
绘画板的画太大，画上边有很多是橡皮泥，我做了一个大的纸袋把画装起来。",Not Found, 
"
                            
                                
                            
                            越来越力不从心了，，，
                            
                        ",每天上课就效率很低，都在浪费时间，每天都不知道在干什么唉，明年高三了怎么办啊呀呀呀呀, ,[风险账号][福建省.漳州市]
"
                            
                                
                            
                            I don't know why I attend school every day
                            
                        ","I just simply waste time in school every day, I don't listen to lesson at all, I don't know why I go there every day.", ,[风险账号][福建省.漳州市]
"
                            
                                
                            
                            Тест
                            
                        ",Тест Тест, ,[风险账号][福建省.漳州市]
"
                            
                                
                            
                            感觉亚努科维奇就是个傻逼
                            
                        ","直接run俄罗斯了，手下还有金雕特种部队等等一大堆的人支持他，直接镇压叛乱不就好了吗，实在不行去东边亲俄区寻求支持甚至发动东乌老乡去基辅进京勤王干反对派就完了，结果逃莫斯科，直接坐实了乌奸名号，算是彻底终结了自己的政治生命
川普支持者都直接上国会山了，虽然最后还是没选上，让老b登登基了", ,[风险账号][福建省.漳州市]
"
                            
                                
                            
                            2023-5-8
                            
                        ","又是忙着做项目的一天,期末项目答辩真的很要命~",Not Found, 
"
                            
                                
                            
                            好久没回来看了，换个号继续瞎写写
                            
                        ","感觉上一次登录已经好久好久之前了，这次回来就好像回老家一样，不知道还是不是从前那波人。
说说近况。
我第一年高考没过，我复读了一年，考上了大学，没有去别的城市，有些可惜，感觉一直在老地方兜兜转转没有走出去，我不甘心。
从头到尾我都没有放弃过画画，一直在画，我买了平板，买了软件，从在纸上画变成在平板上画，从黑白画到彩色，这个应该算进步吧？不管怎样我在心里给自己算上进步。
但是我还是不爱学习，可能真的不是学习书本这块料，我宁愿学习画画，我喜欢上网看别人画画的过程，然后自己动手，这比高数简单多了。（真的！）我还在抄作业，真的很懒。
前几天申请米画师和b站工坊，失败了，都失败了，毕竟比不上其他专业的人，我只能算小半吊子（哎），在小红书随缘推荐自己的画，想让别人来约稿，我也想自己赚钱——但目前还没有人来找我，倒是整活评论多了不少赞。
先这样吧，好久没码字了，语句不通，感觉像个原始人突然穿越未来的后代生活一样。
下次再见！",Not Found, 
"
                            
                                
                            
                            我真的比不过我表哥了吗？
                            
                        ",我表哥在北京建工工作，因为之前我舅舅在调到北京工作，顺便我哥国外留学之后就被安排到北京去实习，然后上班，感觉自己和他之间的差距似乎越来越大了，人为什么感觉总是一步一步的赶不上趟，唉。,Not Found, 
"
                            
                                
                            
                            庆小兔日记4274（下）你不能破坏我的东西
                            
                        ","《庆兔兔日记》早教日记 
庆小兔六岁第五十二天
4274（下）-二零二三年二月二十六日星期日多云转晴天14℃~4℃客厅早晨温度12℃ PM2.5-131
吃完饭妈妈带着庆兔兔庆小兔去市里理护理眼睛，庆兔兔还有体育训练课。
妈妈要去幼儿园给庆小兔送被子。
庆兔兔庆小兔刚刚走豆苗来了。
豆苗问：“小九哥哥呢？”
外婆说：“庆兔兔下午去市里上体育课了。”
我说：“可能要晚上才能够回来。”
外婆指着茶几上无数的零食。
外婆说：“豆豆，这里有那么多好吃的。”
豆苗嘴里吃着东西，豆苗拿了庆小兔的压面条机。
豆苗让我打开面条机，豆苗把一坨超级黏土塞进面条机里，豆苗在压面条。
豆苗打开3R宝贝，豆苗在和3R宝贝聊天。
豆苗把庆小兔的所有玩具都玩了一遍。
三姨奶奶跟外婆说家里的烦心事。
三姨奶奶在说自己身体的不舒服，三姨奶奶说最近时间心脏难受。
外婆说：“不舒服就要去看病。”
我说：“心脏不是小问题，要看就早一点看，心肌梗塞就是一瞬间的事情，如果血管狭窄就要加一个支架。”
三姨奶奶说：“别人说，能够不加支架就不要加支架。”
我说：“要加支架就一定要早一点加支架。”
豆苗在玩庆小兔的积木。
五点钟豆苗外婆说：“奶奶要回家做饭了，我们回家了。”
豆苗说：“小九哥哥还没有回来。”
外婆说：“下一个星期再来，星期六下午小九在家里。”
外婆抓了一把零食塞进豆苗的口袋里。
外婆说：“拿着路上吃。”
豆苗刚刚走到阳光房。
豆苗在喊；“小九哥哥。”
庆兔兔庆小兔从侧门过来。
庆小兔说：“豆豆妹妹。”
豆苗说：“我一直在等你。”
庆小兔说：“豆豆妹妹你来，你看我搭的积木。”
庆小兔来到爬行毯，爬行毯上已经是垃圾一堆。
庆小兔说：“豆豆妹妹，你怎么把我的建筑搞成这样了！”
豆苗说：“我一碰，他就坏了。”
庆小兔说：“你不能来了破坏我的东西。”
庆小兔牢骚发了，庆小兔没有继续追究。
庆小兔说：“豆豆，我们放烟花吧！”
豆苗说：“我放。”
庆小兔拿了烟花，庆小兔拿了打火机和蜡烛。
大毛看见庆小兔拿着烟花，大毛马上钻进屋里。
庆小兔把烟花放在地上。
豆苗远远地跑到园子里。
庆小兔说：“不要跑那么远。”
豆苗说：“你要放炮。”
庆小兔说：“这个不会响的。”
豆苗说：“我不敢。”
庆小兔把蜡烛点着，庆小兔迅速弯下腰。
我说：“慢一点。”
庆小兔的手移动太快，庆小兔的蜡烛还没有靠近烟花，蜡烛上边的火焰就熄灭了。
庆兔兔说：“你不行！我来！我来！”
庆小兔站起来重新把蜡烛点着。
这一次庆小兔往下的速度比较均匀，庆小兔蹲下来在点烟花，可能庆小兔的蜡烛靠前了一点，庆小兔的蜡烛还没有离开，烟花就喷出了火焰。
接着庆兔兔上场点烟花。
庆小兔说：“下一个是我哟！”
庆兔兔在点烟花。
庆小兔说：“下一个是我放，下一个该我了。”
庆小兔和庆兔兔轮流在放。
庆兔兔把一个烟花放在水泥斜坡上点，烟花旋转着从斜坡上转了下去，最后烟花滚落到斜坡下边。
我说：“下边是枯草，放完了看看下边的草有没有被燃着。”
庆兔兔回家了。
庆小兔说：“豆豆，你来看我种的菜。”
豆苗问：“哪里？”
庆小兔说：“跟我来。”
庆小兔走进园子里。
庆小兔说：“你看！这是韭菜，这是白菜。”
豆苗对种菜不感兴趣。
庆小兔说：“我们挖地吧！”
豆苗问：“怎么挖？”
庆小兔一个手托着下巴想了一下。
庆小兔说：“我知道了，你跟着我来。”
庆小兔来到阳光房，厨房的窗台上放着庆小兔的工具。
庆小兔说：“在这里。”
庆小兔拿了一把自制的铁耙子，庆小兔给豆苗一把玩具铁皮耙子。
庆小兔拿着耙子在树上拍了几下，豆苗也过来用耙子在树上磕了几下。
庆小兔说：“到这边来。”
庆小兔在一旁空地蹲下来。
庆小兔说：“耙土！耙土！”
豆苗也跟着用耙子在地上耙。
豆苗说：“耙土！耙土！”
庆小兔说：“挖土！挖土！”
豆苗说：“咿呀！咿呀!”
庆小兔说：“挖土！挖土！”
豆苗说：“我挖到一个宝物。”
庆小兔说：“挖土！挖土！我一直在挖！”
豆苗说：“我也是。”
庆小兔叽里咕噜在说，庆小兔站起来两个手晃动耙子，庆小兔扭动屁股在表演。
庆小兔说：“一二一，我的玩意。”
豆苗也跟着在晃。
庆小兔说：“还是回来挖土。”
庆小兔在刨土。
庆小兔说：“挖土！挖土！挖！挖！挖！”
豆苗说：“我来挖！”
庆小兔站起来，豆苗接着挖。
庆小兔蹲下来挖。
豆苗说：“还是我来挖。”
庆小兔说：“敬你一个鬼。”
庆小兔在挖土。
庆小兔说：“我一撬一穴。”
豆苗说：“我一撬两穴。”
庆小兔说：“我一翘一百。”
豆苗说：“我一翘一百，我一翘一百八十次。”
…。
庆小兔说：“我在这里挖一个陷阱，我埋一个ABC炸弹。”
…。
庆小兔豆苗说了很多，庆小兔也表演了很多，庆小兔甚至在地上滚了一圈。
庆小兔挖土我录制十段视频。
外婆说：“吃饭了。”
三姨奶奶和豆苗也坐了下来。
豆苗吃完饭，豆苗在汉语拼音挂图上按了一下。
庆小兔走过来，余承泽在测验按钮上按了一下。
“考试开始。”
“请找出韵母a在哪里？”
余承泽在a上点了一下。
“回答正确。”
三姨奶奶说：“豆豆，你看小九哥哥认识好多拼音。”
…。
吃完饭豆苗说：“我还没有去滑滑梯。”
庆小兔说：“我也去滑滑梯。”
妈妈对庆兔兔说：“你带他们两个去小广场去玩一会。”
庆小兔骑上自行车。
我说：“不要骑自行车，晚上小广场灯光暗人太多，会碰撞小朋友的。”
庆小兔说：“我会小心的。”
妈妈说：“不能骑车。”
庆小兔马上从自行车上下来。
妈妈说：“明天我要早一点走。”
外婆问：“怎么了？”
妈妈说：“明天我要考驾照。”
三姨奶奶说：“你考科目几？”
妈妈说：“我明天考科目三。”
三姨奶奶说：“考完科目三，你就考完了。”
妈妈说：“晚上他们洗完澡就到这里来睡觉。”
七点半三姨奶奶和豆苗才走。
庆兔兔庆小兔跟着妈妈走了。
九点钟庆兔兔庆小兔来了。
庆兔兔说：“我们看一会电视。”
外婆问：“你们刷牙了没有？”
庆小兔说：“我刷牙了。”
庆兔兔说：“我还没有刷牙。”
庆兔兔把电视调到CCFV9，非洲的致命动物。
庆兔兔问：“这是什么？是蛇还是蜥蜴。”
庆小兔说：“这是蜥蜴，他正在享受阳光。”
外婆说：“看半个小时。”
今天外婆给庆兔兔另外准备一床棉被，这样避免庆小兔在被窝里挤庆兔兔。
庆小兔说：“把小雅拿进来。”
我把喜马拉雅搬到屋里。
庆小兔说：“小雅需要设置，把外婆的手机拿来。”
我说：“我不会弄。”
庆小兔说：“你只要把手机打开就可以了。”
我把手机输入密码递给庆小兔。
庆小兔麻利地在手机上操作着，很快手机开始播放故事。
外婆说：“明天早上七点钟叫你们。”
庆兔兔说：“好！”
我把厚窗帘拉开一条缝，我再把薄纱窗帘拉上。
外婆说：“你把窗帘打开干什么？”
我说：“马路上的路灯可以照进来，这样夜里屋里不会那么黑。”
外婆说：“晚上开着窗帘睡觉不好。”
外婆拿来小夜灯。
外婆说：“晚上给你们点一个小夜灯，你们起来时候方便一点。”
庆兔兔说：“我们不要小夜灯。”
外婆说：“夜里那么黑，晚上你们起来怎么办？”
庆兔兔说：“用不着。”
庆兔兔庆小兔很快睡着了。
外婆说三姨奶奶：“她们吃饭太不注意，每天大鱼大肉，一只鸡一顿都不够。”
我说：“年龄大了身体肯定会退化，她比我们小十岁，她有点过分紧张了。”",Not Found, 
"
                            
                                
                            
                            庆小兔日记4274（上）画龙点睛是第一次学的
                            
                        ","《庆兔兔日记》早教日记 
庆小兔六岁第五十二天
4274（上）-二零二三年二月二十六日星期日多云转晴天14℃~4℃客厅早晨温度12℃ PM2.5-131
太阳没有出来，后几天却等来了雨，不过天气预报的温度并没有跌落下来。
长江对岸的雾并没有收敛，除了长江水隐隐约约可以看见，再远一点什么也看不见了。
九点钟外婆说：“打电话问问他们到哪里了。”
我拨通庆兔兔的电话。
我问：“你们到哪里了？”
庆兔兔说：“到了。”
庆小兔手里提着一瓶1.5L的矿泉水，庆小兔一个手提着两盒热干面。庆兔兔背着书包，庆兔兔提着一包鞋过来。
我问：“你们提水干什么？”
庆兔兔说：“这是我要喝的。”
我说：“这里不是有水吗？”
庆兔兔说：“这是我带到写字课去喝的。”
外婆在看餐桌上放的热干面。
外婆问：“你们两个人没有吃饭吗？”
庆兔兔说：“吃了，我们两个人都吃了。”
外婆说：“怎么你们都剩下那么多面条。”
庆兔兔说：“我也不知道。”
外婆问：“鞋是不是要洗的。”
庆兔兔说：“鞋是拿来洗的。”
庆小兔问：“我的小车车呢？”
庆小兔拿着自己的汽车在玩。
外婆问庆兔兔：“你今天是十点钟上课？”
庆兔兔说：“我带小九去上围棋课。”
外婆说：“小九十点半上课，你把小九送去，围棋班还没有开门。”
庆兔兔说：“我让小九在那里等着。”
外婆说：“让外公送小九去上课。”
庆兔兔说：“妈妈要我送小九上课的。”
外婆问：“你们怎么去呀！”
庆兔兔说：“我骑自行车。”
外婆说：“你骑自行车小九怎么办？”
庆兔兔说：“小九跟着呀！”
外婆说：“跟着怎么走呀！还是外公去送小九上课，你下课了直接回来你不要去接小九，让外公去接小九回来。”
庆兔兔进屋做作业，庆小兔进屋玩积木。
庆小兔喊道：“外公来一下。”
我说：“干什么？”
庆小兔说：“把这个头拿下来。”
这是很小的人偶。
我问：“拿下来干什么？”
庆小兔说：“我换一个头。”
人偶的头非常紧，就好像是一个整体的。
我说：“好像拿不下来。”
庆小兔说：“这是乐高，乐高都可以拆卸的，我要给他换一个头。”
人偶的头终于拔了下来。
我出去继续写日记
庆小兔喊道：“外公把这个头转一下。”
新换的人偶的脸没有准对前方。
庆小兔把小车车重新组装。
庆小兔说：“哦特！怎么搞的！啊！”
“哦特！哦特！哦特！嘀嘀！”
庆小兔用河南方言说：“你这是啥玩意呢！”
庆小兔叽里咕噜，不知道庆小兔在说什么。
庆小兔在小车车上安上一个人偶。
庆小兔哼着小曲。
庆小兔往小车车上又安了一个人偶。
庆小兔说：“这还差不多。”
庆小兔话音刚落，小车车车尾掉下来了。
小车车在床上开。
“我走了，拜拜。”
车子断了。
庆小兔说：“车子坏了怎么走。”
庆小兔嘴里咕咕唧唧。
庆小兔继续修补小车车。
庆小兔说：“车已损坏，车已损坏。”
小车车好了。
小车车在开。
“啵啵啵，啵啵啵。”
一个人偶碰掉下来。
小车车重新上路。
小车车被举在空中。
“开的太快了，小车车飞到天上了。”
我说：“开天上了。”
庆小兔说：“他降落了。”
庆小兔拿了一颗小的颗粒，小颗粒高高地举着。
“警报！警报！一颗炸弹来袭。”
庆小兔一个手推着小车车，庆小兔一个手拿着炸弹。炸弹飞向小车车，小车车往旁边移动炸弹擦边而过。
炸弹回头，炸弹面对小车车，小车车不断地转动方向，转动也跟着在转。
我说：“他会自动跟踪目标。”
炸弹终于把小车车炸翻。
庆小兔说：“还用一个坏人。”
庆小兔拿起一个人偶。
庆小兔说：“他手里拿着炸弹。”
庆小兔往人偶手里放炸弹。
庆小兔把炸弹拿下来，炸弹朝着小车车飞来。
庆小兔说：“他们在这，他往这边飞来。”
庆小兔一个手在拉小车车。
庆小兔说：“他们以为，他们以为，他们往这里插。”
小车车躲在盒子后边，炸弹跟着在飞，炸弹往下朝着小车车飞来，小车车猛地往后倒车，炸弹击中地面。
庆小兔说：“没有炸到。”
庆小兔转身又拿了一颗炸弹。
庆小兔说：“第二颗。”
炸弹飞了过来。
小车车在开。
庆小兔说：“炸弹跟着在走。”
…。
“第三颗。”
…。
“第四颗。”
…。
“第五颗。”
…。
外婆说：“小九，时间到了。”
今天外婆要去银行取工资，外婆跟着一起走。
庆小兔问：“外公你带钱了没有？”
我说：“没有带”
庆小兔说：“你怎么不带钱呢？”
我说：“我去接你的时候再带钱。”
庆小兔说：“我去的时候不能买了。”
我说：“回来再买。”
庆小兔说：“我要买口香糖，外公你要带两块钱。”
我说：“你现在怎么喜欢吃糖了。”
庆小兔说：“这是口香糖，没有钱怎么办？”
我说：“你看外婆背着包，外婆包了就有很多钱。”
庆小兔说：“我昨天刮奖券，我刮到一个十元，哥哥没有刮到。”
我说：“你刮到十块呀！”
庆小兔说：“一人五元。”
我说：“一人五元呀！”
外婆问：“你刮了多少？”
庆小兔说：“十元，一人五元，哥哥就没有刮到。”
庆小兔对我说：“我看到一张肯尼亚的钱。”
我说：“你还看到肯尼亚的钱呀！”
庆小兔说：“应该。”
我说：“应该呀！”
庆小兔说：“反正我是在家里看到的。”
我说：“家里肯定能够看见肯尼亚的钱，你爸爸就在肯尼亚上班。”
庆小兔说：“肯尼亚钱有一角的也有一元的。”
庆小兔问：“他们在干什么？”
有工人在江山多娇小区围墙立柱上刮灰。
我说：“他们在刷墙。”
庆小兔说：“刷墙。”
我说：“柱子时间长了，涂料都掉了，涂料可以保护墙不会损坏，涂料可以让墙体变得美观。”
庆小兔说：“怎么有的怎么没有刷。”
我说：“这是刮腻子，腻子可以把不平的地方刮平，外边还要喷涂料。”
庆小兔说：“我以前画的画龙点睛，我也忘了”
我说：“忘了！画龙点睛就是在龙眼睛上点一个点子呗！”
庆小兔说：“嗯！画点点我忘了，要画一个好大的龙，要先画龙身龙麟龙爪龙眼龙足，好多！”
我问：“热不热！”
庆小兔说：“不热！画龙点睛是第一次学的。”
我说：“哦！”
庆小兔说：“画龙点睛画那么久，画存在哪了？”
我说：“在家里，在盒子里放着呢！”
庆小兔说：“盒子里！哪个盒子里？”
我说：“在我和外婆的房间里。”
庆小兔说：“在盒子里。”
我说：“东西要盒子装呀！那么多画！”
庆小兔说：“我看看呗！”
我说：“好！我给你找。”
庆小兔说：“我买两个口香糖，哥哥一个我一个。”
要过马路了庆小兔牵着我的手，
庆小兔说：“小朋友在外边要注意安全。”
我说：“安全第一。”
庆小兔说：“过马路要牵着大人的手。”
我说：“马路上有很多车。”
走到工商银行对面外婆坐了下来。
外婆说：“我在这里等。”
庆小兔往供电局门口斜坡走上去。
这个斜坡有四十度，我还是有一点担心庆小兔会滑下来，我在下边一直等庆小兔走上去。
庆小兔进教室上课，我回头去找外婆。
我们在银行取了钱。
外婆说：“那么远你还回去呀！”
我说：“你身上那么的钱，你自己回去呀！我在那里也要在外边来回走，我回家也是走，就当我是在锻炼身体的。”
我再一次来到吾家大酒店，许多学生从里面涌了出来。
奇兔兔也夹杂在人群中。
奇兔兔回头在喊：“庆兔兔你外公来了。”
庆兔兔还站在门口。
庆兔兔说：“我回家了。”
我说：“你走吧！”
庆兔兔骑上自行车走了。
上楼围棋班还没有下课。
下课的钟声响了，围棋班的小朋友从屋里出来。
门口的老师说：“各人的水杯记住要拿走。”
庆小兔这才回头拿水杯。
吾家大酒店是在一个高台上，从吾家大酒店出来是供电局。来的时候庆小兔就是从斜坡走上来的，回去也想从斜坡上下去。上山容易下山难，庆小兔一个脚踏在斜坡上，庆小兔还是有一点害怕，庆小兔试了几下，庆小兔另外一个脚没有敢踏上去。
我说：“不要！这个斜坡坡度太陡，上去还不要紧，脚下打滑最多趴在地上，你往下走身体是直立的，万一脚下打滑，你的后脑勺就会磕在地面上。”
从上边下来庆小兔问：“带钱了吗？”
我说：“带了。”
庆小兔问：“带两块钱吗？”
我说：“带两块钱。”
庆小兔说：“我知道哪里有口香糖。”
我说：“哪里有卖口香糖的。”
庆小兔说：“你跟着我走，所有的小卖部都有口香糖。”
庆小兔走进第一个小卖部，庆小兔朝柜台上看。
老板问：“小朋友，你要买什么？”
庆小兔说：“口香糖。”
老板指了一下瓶子说：“一块钱四个。”
我听成五块钱四个，我把钢镚放回去，我拿了一个五块钱。
庆小兔说：“那不是两块钱可以买八个了吗？”
我问：“多少钱？”
老板说：“一块钱四颗。”
我递上一个钢镚，庆小兔拿了四颗口香糖。
庆小兔说：“四颗，我两颗，给哥哥两颗。”
回到家庆小兔说：“哥哥，我给你带了口香糖，我们一个人两颗口香糖。”",Not Found, 
