User,Title,Content,Location,Time
Srita,"
                            
                                
                            
                            再见了，“许南征”
                            
                        ","2010年我认识到一个事实，我喜欢上一个人很久了，不知道起于何时，只知道此后一直坚持着，眨眼便走过12年。
也有人提醒我，一厢情愿绝非好事，甚至和我立下赌约：以12年为期作赌注搏他的真心，结局必然令我失望。从前不信，没想竟一语成谶。也是，谁没头铁过？自信到自负过？终究要被现实毒打过才知道人心可贵亦可悲。
12年过去，终归还是渐行渐远，年少的真心耗死在了无止境的试探中，再也感受不到真诚和耐心，而是随处可见淡漠与疏离，这不禁使我恼怒、困惑，这么多年他是否有过片刻心动？然，沉默即是答案。
于是不再期待任何回应，我借别人的故事向他转述抽身离场的态度：不会再喜欢上错的人，这件事和吸毒无异，没命抽到死，只能尽早戒。我学会了不说再见即是再见，也明日了他的陪伴对我的意义大过他的存在本身。我在孤单岁月中行走，习惯了如履薄冰，心灵的慰藉何其珍贵，既然已经长大，也要适时和陪我一路走来的他永别了……",Not Found, 
BlackWingPax,"
                            
                                
                            
                            轻说-2023年04月05日 22:33:04 星期三
                            
                        ",刚写完，翻看别人写的日记。正在肝读后感的我（《红岩》），看着有辩法的、遇见心魔的。。。。。。不由得和书与自己联系起来了。, [贵州省.毕节市], 
BlackWingPax,"
                            
                                
                            
                            轻说-2023年04月05日 22:27:02 星期三
                            
                        ",今天清明，太累了。听课，备赛，朗诵，吃饭，散步，作业，钢琴，游戏，书法，一大堆。不过还算可以，作为一个六年级的人，还有3、4个小时的游戏时间，语数总分195往上还是挺好的了。今天LPL春季赛没看完，挺遗憾。我喜欢的女孩依旧被我喜欢，我的兄弟依旧是我的兄弟。我指导一个网上的好朋友重装电脑，之前还指导他下epic、白嫖游戏。明天消逝的光芒：增强版免费了（在epic上），我们和联机群里面的另一个人还要一起打游戏。这种生活，我挺喜欢的，也挺厌恶的。总之非常复杂吧。最后吐槽我的爸妈，偏要小考之后才重新买手机（用坏四五个了），很无语的。谁看到吱个声吧。, [贵州省.毕节市], 
日不落的想念,"
                            
                                
                            
                            轻说-2023年04月05日 17:15:44 星期三
                            
                        ","我是个女的
短头发的女的

包子铺的小妹说
帅哥你要吃点啥
厕所里的阿姨说
小伙你走错了道

我是个女的
怎么活成了个男的
有什么办法
如果不把自己打碎
那只会每天喝醉


我是个女的
四十岁女的

热销榜的书里说
女人你要独立啊
知乎网的大神说
大姐还是认命吧

我才四十岁
怎么活成了四百岁
有什么办法
房贷车贷装修贷
还有两个娃要带


",Not Found, 
soyataxin,"
                            
                                
                            
                            2023.4.5
                            
                        ","清明节啦，昨天突然的下雨降温让我有点不适应。但是今天放假总体来说还是很开心的。舍友们都出去准备考研了。我虽然也有考研的打算但还是猫在宿舍里不想出去。
过节和我爸爸打了个电话。他在家似乎有点感冒。下周他还要去北京去看病，希望这次能进行有效的治疗。有点担心。跟他说了我的学习状态很差之后，他也没有压力我，只是让我尽自己力就可以了，他的话让我本来有点沉重的心态放松了一点，希望过段时间我的心态和状态都能好转。",Not Found, 
kfzwqxzy,"
                            
                                
                            
                            《庆兔兔早教》046让城里和农民工的孩子优点融合起来
                            
                        ","农民工的孩子那么小就一个人在外边玩耍，他们是属于一种无奈。
他们刚刚来到这个城市，他们正在为自己的温饱而奋斗，他们为了自己孩子在努力。
他们不可能再带来孩子的爷爷奶奶外公外婆，因为他们没有这个能力，他们的孩子只能自己寻找快乐，至于孩子的安全他们也想了但是他们有什么办法呢？总不能让孩子整天关在家里。
不是父母不心疼自己的孩子而是他们确实没有能力，只要他们的孩子不受伤没有被人贩子抱走，这就是他们的愿望。他们小小年纪就必须自立。他们自己吃饭，自己穿衣洗脸，他们甚至还可以帮着爸爸妈妈带弟弟妹妹帮着家里买酱油打醋。他们会很快融入这个社会，在这个快速发展的社会中找到自己的定位。
城里的孩子会走路了上幼儿园了上学了甚至工作了，他们始终生活在家长呵护的阴影里。
能不能城里人农民工有机的结合起来，城里孩子小心翼翼，农民工的孩子能够从小自立，这一切不是普通民众能够做到的。
有谁能够去帮帮农民工的孩子，其实要帮助的还有城里的孩子，他们需要自立，他们需要面对未来，农民工孩子的一切正是城里孩子所缺乏的。
农民工的孩子也有他的不足，随地吐痰随手乱扔垃圾闯红灯，这是他们从农村带了了陋习。这些不愿他们，他们不知道也没有人告诉他，他们的父母没有时间告诉他们，有些孩子的父母本身就还遗留着一些这样的陋习。这些都是是他们要向城里孩子学习的。
农村来的孩子每天摸爬滚打浑身上下没有一点干净的但是他们身体很健康他们很少生病。这个城里人做不到，尽管城里人精心呵护，恨不得孩子放在一个近似于真空的环境里，孩子每天在吃药打针，家里柜子里装满了瓶瓶罐罐药片口服液。
时间不等人我们不能够等待，不能够等到孩子固有习惯的形成，到那时候想要改谈何容易，江山易改本性难移就是说的这个道理。
能不能让他们互相学习一下，我们不要分什么城市人，也不要分什么农民工，关键是思想意识的同化，教育思想方法的一致，我们要培养的是一个身体健康的孩子，一个思想健康向上的孩子，一个活泼可爱的孩子。
关键是由谁了主持这个事情，是谁可以负责这个事情，一个个年轻的家庭是不可能的。他们也想改，农村来的他们想自己的孩子能够成为一个和城市孩子一样有知识有教养的文明人，城里人他们也想自己的孩子像农民的孩子一样自立身体健康的人，这这是一个多么美好的愿望呀。
2015年4月9日
",Not Found, 
kfzwqxzy,"
                            
                                
                            
                            庆小兔日记4241我是去滑雪
                            
                        ","《庆兔兔日记》早教日记 
庆小兔六岁第十九天
4241-二零二三年一月二十四日星期二晴天4℃~-1℃客厅早晨温度11℃ PM2.5-78
雾又淡了许多，大山下边的房屋已经显露出来。
阳光轻轻地飘洒过来，天上的云渐渐地稀薄起来。
八点钟就听见庆兔兔庆小兔的说话声音。
庆小兔拿着一个黄色滑草板进来了。
我问：“你去滑草吗？”
庆小兔说：“不！我是去滑雪。”
庆小兔把滑草板放在地上，庆小兔坐在滑草板上。
庆小兔说：“我这样滑雪。”
我问：“你有手套吗？”
庆小兔说：“不用手套。”
我说：“山里是很冷的，滑雪场很冷很冷。”
庆小兔说：“我可以这样。”
庆小兔把两个手插进口袋里。
我说：“你的手要扶着滑草板呀！”
庆小兔问：“扶着哪里？”
我说：“你坐反了。”
庆小兔往后看了一眼，庆小兔把屁股转了一百八十度。
庆小兔问：“这样吗？”
我说：“你不是滑过草吗！”
庆小兔两个手握住把柄。
庆小兔问：“这样吗？”
我说：“你滑雪的时候要两个手握住把柄，这样你才能够保持身体的稳定，滑雪板往前滑，你的手在外边被冷风吹的很冷的，所以就要戴手套。”
庆小兔拉起滑草板的把柄，庆小兔猛地松开手，把柄弹了下去，把柄在剧烈地颤抖。
我说：“滑雪还要戴眼镜，戴那种能够反光的眼镜。”
庆小兔摇摇头。
我说：“那种眼镜可以租到，手套可能就不行。”
外婆找了一双手套。
外婆说：“有一双旧手套，手套有一点小，带着吧！冷的时候可以挡一阵。”
庆小兔朝着外婆招招手说：“过来！过来。”
外婆把手套递给庆小兔。
我说：“带着吧！冷的时候可以戴一下，不冷的时候就放在口袋里。”
庆小兔在戴手套，这个手套也太小了，庆小兔勉强把手伸进去。
我说：“你没有去过雪地里，冬天冷的地方你没有去过，你看那登山运动员爬雪山的，都戴着眼镜的，脸上是一个罩子，戴着一双棉手套。”
庆小兔说：“我不是爬雪山，我是玩雪。”
我说：“玩雪爬山都一样的，山越高就越冷。”
庆小兔说：“我没有怎么办？”
我说：“这些滑雪的装备应该滑雪场都可以租到的，反正他们是吸引大家来滑雪的，他不提供装备别人怎么玩呀！滑雪有滑雪服装，滑雪还要有头盔，头盔可以保障滑雪者的头部安全。”
庆小兔继续扳着滑草板的把柄，拉起来松开手把柄，手柄击打地面啪啪地作响。
外婆走过来说：“把这个扳断了，看你的袖子。”
外婆过来给庆小兔拉袖子。
外婆说：“看你的袖子这么脏。”
庆小兔说：“姨妈没有钱怎么借呀！”
我说：“姨妈有很多钱。”
庆小兔说：“姨妈已经没有钱了，姨妈只有六块钱了。”
我说：“你可以支援姨妈六块钱啥！”
庆小兔说：“我的钱没有在这。”
我说：“你的钱不是在小熊储蓄罐里吗？”
庆小兔说：“存钱罐在妈妈那里，你说我怎么拿吧！”
我说：“嗷！在妈妈那里，去滑雪场要很多钱，姨妈的手机一扫。”
庆小兔说：“是的！”
我说：“刷卡！”
庆小兔说：“昨天商场那个阿姨都说了，里面还有六块。”
我说：“免费六块。”
庆小兔说：“嗯！因为免费所以六块。”
我说：“因为免费才六块，花去六块钱。”
庆小兔说：“不是，那是蛋糕店，昨天我们去买蛋糕的时候，那里的阿姨都说了，还剩下六块了。”
我说：“雪地上阳光反射强烈，所以你们去玩要戴上反光镜，紫外线容易灼伤眼睛或造成雪盲症。”
庆小兔问：“什么是雪盲？”
我说：“就是眼睛突然看不见了，就像一个盲人。同时滑行时冷风对眼睛的刺激伤害很大，所以滑雪时一定要佩戴护目镜保护眼睛。”
庆小兔说：“我没有怎么办？”
我说：“滑雪场这些都会有的，有大人的，也有小孩子的装备，他租借装备反正是赚钱的。”
庆小兔两个手从眼睛往两边一扒。
庆小兔说：“把雪扒开一点。”
我说：“戴一个墨镜，在哪里可以借到镜子，那个镜子是戴在脸上的，这个面罩是反光的。”
庆小兔说：“凸透镜。”
我说：“不是凸透镜，就是一个面罩，戴在脸上就可以把雪地的光反射出去。”
庆小兔说：“那个太大了。”
我说：“有小孩子的，戴一个帽子，帽子前边有一个眼镜，戴一个玻璃面罩。”
庆小兔说：“我滑的时候就戴。”
我说：“风也吹不到你的脸上。”
庆小兔说：“但是我没有那个面罩呀？”
我说：“那个到那里可以借”
庆小兔说：“那个要几千块钱，我没有。”
我说：“借一个只要几十块十几块钱，不要几千块钱，你要玩嘛！你不要钱呀！你觉得钱贵了，你要妈妈拿钱，”
庆小兔说：“妈妈又没有钱。”
我说：“妈妈也没有钱是不是？”
庆小兔说：“妈妈没有钱了。”
我说：“妈妈怎么没有钱呢？”
庆小兔说：“那一次我的眼镜摔坏了。”
庆小兔伸出两个手指头说：“我花了两百。”
我说：“你换一个眼镜花两百呀！”
庆小兔说：“嗯！”
我说：“现在两百块钱又不多。”
庆小兔说：“爸爸只剩下一百块钱了。”
我说：“爸爸只剩下一百块钱了。”
庆小兔说：“我说，爸爸只有一百几了，现在。”
庆小兔想了一下说：“反正现在只有一千，反正好少，但是一千几好少。”
我看见庆兔兔在窗外。
我走过去问庆兔兔：“你有手套吗？”
庆兔兔点点头说：“有手套。”
庆小兔喊道：“姨妈。”
姨妈问说：“干什么？”
余承说：“我没有滑雪眼镜怎么办？”
姨妈说：“没有眼镜到那里可以借。”
庆小兔说：“姨妈没有钱怎么办？”
姨妈说：“姨妈可以跟同事借呀！”
九点钟几个人走过来。
庆小兔打开门说：“拜拜。”
庆兔兔说：“外婆，我们走了。”
外婆说：“出去好好玩。”
今天一天的阳光都好好。
太阳还有那么高，突然听到阳光房开门的声音，我还以为是三姨奶奶来了。
猛然间听到庆小兔的说话声音，才知道滑雪的队伍回来了。
庆小兔从庆兔兔手里接过小桶。
庆小兔说：“你说，我是怎么安全地把这个拿回来的。”
外婆说：“你这个松果真大哟。”
庆小兔说：“那里有很多。”
小桶上边是两个大大的松塔。
庆小兔把松塔拿出来，下边是一块比拳头还要大一块冰。
庆小兔说：“我的冰没有化吧！”
庆小兔用手在拨弄小桶下边是一些碎石头。
外婆说：“你用石头隔热的吧！”
庆小兔说：“这样冰就不容易化了。”
外婆说：“松果放在上边热气就进不去了。”
庆小兔说：“我聪明吧！”
外婆说：“聪明。”
外婆问：“你们在哪里玩的？”
庆小兔说：“不知道。”
我问：“雪多吗？”
庆小兔说：“雪有雪，但是没有下雪，是人工的。”
我问：“滑雪好玩吗？”
庆小兔说：“我没有滑雪。”
我问：“怎么去了没有滑雪？”
庆小兔说：“我没有进去，我们也没有戴那种眼镜，我们只有一个卡。”
我说：“只有一个卡！”
庆小兔说：“进去要穿那种鞋，是一种很大的鞋。”
我问：“那你在干什么？”
庆小兔说：“我在外边堆雪人。”
我问：“雪多吗？”
庆小兔说：“这是人造雪。”
我说：“人造雪，你在外边不是没有办法堆雪人了？”
庆小兔说：“外边也有雪，外边的雪没有那么多，我们还是可以堆雪人的。”
外婆说：“洗手了。”
外婆问姨妈：“没有雪怎么滑雪呀！”
姨妈说：“天没有那么冷，哪里会有那么多雪，雪还是有，雪道还要人工造雪。”
庆兔兔在泡方便面。
我问：“山上没有雪吗？”
庆兔兔说：“山上有雪，不过山上没有那么多雪。”
外婆说：“那不是姨妈也没有滑雪了。”
姨妈说：“小九太小了，小九又不能进去，总不能让他一个人在外边吧。”
外婆问庆兔兔：“你们在哪里滑雪的。”
庆兔兔说：“百里荒。”
百里荒听说过，百里荒滑雪场是距宜昌城区最近的滑雪场，开车仅五十分钟就可以到达，百里荒滑雪场现有规模四万平方米。
我问：“你滑了吗？”
庆兔兔说：“我滑了。”
我问：“多少钱？”
庆兔兔说：“二百四一张卡。”
外婆问：“借东西还要钱吗？”
庆兔兔说：“买一张卡进去随便玩。”
我在网上查询百里荒滑雪场，每天十四点前二百四十块钱一个人，
两小时滑雪包括雪鞋雪杖雪板手套头盔，需办理押金三百元。
外婆问：“好玩吗！”
庆兔兔说：“好累！我的两个胳膊都是酸的。”
妈妈问：“你学会滑雪了吗？”
庆兔兔说：“会了一点，我可以往前滑了。”
妈妈问：“你会转弯停下来吗？”
庆兔兔说：“只要把滑板张开成八字形，滑板就可以停下来。”
庆小兔问：“哥哥你在吃什么？”
庆兔兔说：“方便面。”
庆小兔说：“我也要方便面。”
外婆说：“你回来还没有洗手。”
庆小兔说：“我洗手了。”
外婆说：“你哪里洗手了。”
庆小兔说：“我洗手了。”
外婆说：“你回来拿着小桶就进来了。”
庆小兔说：“我洗手了。”
我说：“你不洗手，你会把细菌吃到肚子里的。”
庆小兔说：“我洗手了。”
外婆说：“你哪里洗手了。”
庆小兔说：“洗手了！洗手了！”
外婆说：“好！你把细菌吃到肚子里，你生病了，我们不会管你的。”
庆小兔说：“洗过了。”
姨妈过来了。
姨妈说：“庆兔兔，你在吃什么？”
庆小兔说：“快餐面。”
姨妈说：“我也好想吃快餐面呀！”
庆小兔说：“我也要吃快餐面。”
外婆说：“他回来还没有洗手。”
姨妈说：“你没有洗手呀？”
庆小兔说：“我洗手了。”
姨妈说：“从外边回来第一件事就要洗手，我闻闻你的手是不是洗了。”
余承泽说：“我洗了。”
姨妈说：“我要煎一根火腿肠。”
庆小兔说：“我也要吃炸火腿肠。”
外婆说：“我来煎火腿肠。”
姨妈说：“我来泡快餐面。”
快餐面还没有泡好，外婆的火腿肠煎好了。
姨妈拿着火腿肠给庆小兔，庆小兔伸出手去接火腿肠。
姨妈说：“把手擦一下。”
姨妈拿着一张抽纸给庆小兔擦手。
火腿肠吃完了，快餐面也泡好了。
姨妈说：“我们两个人分着吃吧！”
庆小兔说：“我还没有吃。”
姨妈说：“姨妈还不是没有吃。”
庆小兔说：“我不够了。”
姨妈说：“哥哥还把肉给姨妈吃了呢。”
庆小兔说：“我把肉也给你吃。”
姨妈说：“用盒子不好吃，我把你的面条拨到碗里。”
庆小兔说：“好！”
结果庆小兔吃碗里的，姨妈吃盒子里的方便面。
吃完饭姨妈说：“睡觉了。”
庆小兔拿起外婆的手机，庆小兔把手机递给姨妈。
庆兔兔庆小兔跟着姨妈去那不睡觉了。
六点钟妈妈来了。
妈妈问：“他们回来没有？”
外婆说：“回来了。”
我说：“四点钟就回来了。”
妈妈问：“他们呢？”
外婆说：“吃完饭过去睡觉了。”
妈妈问：“几点钟睡的？”
外婆说：“五点钟。”
妈妈说：“弄不好小九要睡到明天早上了。”
七点钟姨妈过来了。
妈妈问：“他们起来没有？”
姨妈说：“庆兔兔起来了，庆小兔说还要睡一会。”
妈妈去看庆小兔。
妈妈回来说：“小九还要睡一会。”
姨妈庆兔兔吃完饭。
妈妈去叫庆小兔。
庆小兔过来了。
外婆问庆小兔：“你吃饭吧！”
庆小兔摇摇头。
妈妈说：“不吃饭我们就回去。”",Not Found, 
nctmct,"
                            
                                
                            
                            2023年04月05日 01:05:53 星期三
                            
                        ","想做的事情有很多，做事的自控力基本没有。想说的事情有很多，表达的口才基本为零。一周又这么过去了。这几天睡得晚起得晚，基本没运动。上次跳绳好像是周日，今天本来想起床跳几下，七点醒了硬是躺到了八点半，论懒床我是专业的。

自从把游戏戒了，现在迷上了刷视频。以前是下班打一会游戏，饭后刷视频刷到12点，现在是下班后视频直接刷到12点。书都没时间看了。怎么才能早睡呢？喊了快一个月了，每天写日记都提一嘴，然后晚上继续熬夜。
",Not Found, 
BosionJoy,"
                            
                                
                            
                            内卷
                            
                        ","这两年，真的是内卷很严重......
同级别的单位，都各显神通的抢资源
同级别不同单位的人，也是争先恐后的表现
比如我和她，同个级别，不同单位，以前觉得自己很不错了
遇到了她之后觉得，自己竟然也待在了跟人家同级别的位置，真的是造次
我很佩服她，但是呢，我又很不喜欢她
佩服她已经是硕士生导师
佩服她人脉资源十分广泛
佩服她能说会道
但......
讨厌她满嘴谎言
讨厌她不劳而获
讨厌她明争暗抢
但......
你不得不承认的是
这样内卷下的自己，开拓了一些工作新技能
却......
也不得不承认，那不是我喜欢的生活，我一点也不开心。",Not Found, 
wandou,"
                            
                                
                            
                            昨天流水
                            
                        ",昨天晚上发生开题的事情，忘了说，昨天晚上我出去准备买晚饭的时候，正好碰到有人从别的学校（WD）到我们学校来看朋友，手里还捧着鲜花，让我把她带进去，真好，那么老远的地方过来，哎，想想看我是没有那个勇气，也没有那样的友谊的。,Not Found, 
